ticker,strike,expire
ES=F,6365.9,7/1/25
ES=F,6353.9,7/1/25
ES=F,6341.9,7/1/25
ES=F,6329.9,7/1/25
ES=F,6317.9,7/1/25
ES=F,6305.9,7/1/25
ES=F,6293.9,7/1/25
ES=F,6281.9,7/1/25
ES=F,6269.9,7/1/25
ES=F,6257.9,7/1/25
ES=F,6245.9,7/1/25
ES=F,6233.9,7/1/25
ES=F,6221.9,7/1/25
ES=F,6209.9,7/1/25
ES=F,6197.9,7/1/25
ES=F,6185.9,7/1/25
ES=F,6173.9,7/1/25
ES=F,6161.9,7/1/25
ES=F,6149.9,7/1/25
ES=F,6137.9,7/1/25
ES=F,6125.9,7/1/25
NQ=F,23281,7/1/25
NQ=F,23191,7/1/25
NQ=F,23101,7/1/25
NQ=F,23011,7/1/25
NQ=F,22921,7/1/25
NQ=F,22831,7/1/25
NQ=F,22741,7/1/25
NQ=F,22651,7/1/25
NQ=F,22561,7/1/25
NQ=F,22471,7/1/25
NQ=F,22381,7/1/25
NQ=F,22291,7/1/25
NQ=F,22201,7/1/25
YM=F,44850,7/1/25
YM=F,44750,7/1/25
YM=F,44650,7/1/25
YM=F,44550,7/1/25
YM=F,44450,7/1/25
YM=F,44350,7/1/25
YM=F,44250,7/1/25
YM=F,44150,7/1/25
YM=F,44050,7/1/25
YM=F,43950,7/1/25
YM=F,43850,7/1/25
YM=F,43750,7/1/25
YM=F,43650,7/1/25
RTY=F,2279,7/1/25
RTY=F,2264,7/1/25
RTY=F,2249,7/1/25
RTY=F,2234,7/1/25
RTY=F,2219,7/1/25
RTY=F,2204,7/1/25
RTY=F,2189,7/1/25
RTY=F,2174,7/1/25
RTY=F,2159,7/1/25
RTY=F,2144,7/1/25
RTY=F,2129,7/1/25
RTY=F,2114,7/1/25
RTY=F,2099,7/1/25
CL=F,71.25,7/1/25
CL=F,70.25,7/1/25
CL=F,69.25,7/1/25
CL=F,68.25,7/1/25
CL=F,67.25,7/1/25
CL=F,66.25,7/1/25
CL=F,65.25,7/1/25
CL=F,64.25,7/1/25
CL=F,63.25,7/1/25
CL=F,62.25,7/1/25
CL=F,61.25,7/1/25
CL=F,60.25,7/1/25
CL=F,59.25,7/1/25
GC=F,3375,7/1/25
GC=F,3369,7/1/25
GC=F,3363,7/1/25
GC=F,3357,7/1/25
GC=F,3351,7/1/25
GC=F,3345,7/1/25
GC=F,3339,7/1/25
GC=F,3333,7/1/25
GC=F,3327,7/1/25
GC=F,3321,7/1/25
GC=F,3315,7/1/25
GC=F,3309,7/1/25
GC=F,3303,7/1/25
GC=F,3297,7/1/25
GC=F,3291,7/1/25
GC=F,3285,7/1/25
GC=F,3279,7/1/25
GC=F,3273,7/1/25
GC=F,3267,7/1/25
GC=F,3261,7/1/25
GC=F,3255,7/1/25
EURUSD=X,1.19,7/1/25
EURUSD=X,1.18,7/1/25
EURUSD=X,1.17,7/1/25
EURUSD=X,1.16,7/1/25
EURUSD=X,1.15,7/1/25
EURUSD=X,1.14,7/1/25
EURUSD=X,1.13,7/1/25
EURUSD=X,1.12,7/1/25
EURUSD=X,1.11,7/1/25
EURUSD=X,1.1,7/1/25
EURUSD=X,1.09,7/1/25
EURUSD=X,1.08,7/1/25
EURUSD=X,1.16,7/1/25
USDJPY=X,145.8,7/1/25
USDJPY=X,145.4,7/1/25
USDJPY=X,145,7/1/25
USDJPY=X,144.6,7/1/25
USDJPY=X,144.2,7/1/25
USDJPY=X,143.8,7/1/25
USDJPY=X,143.4,7/1/25
USDJPY=X,143,7/1/25
USDJPY=X,142.6,7/1/25
USDJPY=X,142.2,7/1/25
USDJPY=X,141.8,7/1/25
GBPUSD=X,1.398,7/1/25
GBPUSD=X,1.394,7/1/25
GBPUSD=X,1.39,7/1/25
GBPUSD=X,1.386,7/1/25
GBPUSD=X,1.382,7/1/25
GBPUSD=X,1.378,7/1/25
GBPUSD=X,1.374,7/1/25
GBPUSD=X,1.37,7/1/25
GBPUSD=X,1.366,7/1/25
GBPUSD=X,1.362,7/1/25
GBPUSD=X,1.358,7/1/25
GBPUSD=X,1.354,7/1/25
GBPUSD=X,1.35,7/1/25
AUDUSD=X,0.668,7/1/25
AUDUSD=X,0.666,7/1/25
AUDUSD=X,0.664,7/1/25
AUDUSD=X,0.662,7/1/25
AUDUSD=X,0.66,7/1/25
AUDUSD=X,0.658,7/1/25
AUDUSD=X,0.656,7/1/25
AUDUSD=X,0.654,7/1/25
AUDUSD=X,0.652,7/1/25
AUDUSD=X,0.65,7/1/25
AUDUSD=X,0.648,7/1/25
EURJPY=X,170.6,7/1/25
EURJPY=X,170.5,7/1/25
EURJPY=X,170.4,7/1/25
EURJPY=X,170.3,7/1/25
EURJPY=X,170.2,7/1/25
EURJPY=X,170.1,7/1/25
EURJPY=X,170,7/1/25
EURJPY=X,169.9,7/1/25
EURJPY=X,169.8,7/1/25
EURJPY=X,169.7,7/1/25
EURJPY=X,169.6,7/1/25
EURJPY=X,169.5,7/1/25
EURJPY=X,169.4,7/1/25
EURJPY=X,169.3,7/1/25
EURJPY=X,169.2,7/1/25
EURJPY=X,169.1,7/1/25
EURJPY=X,169,7/1/25
EURJPY=X,168.9,7/1/25
GBPJPY=X,199.8,7/1/25
GBPJPY=X,199.6,7/1/25
GBPJPY=X,199.4,7/1/25
GBPJPY=X,199.2,7/1/25
GBPJPY=X,199,7/1/25
GBPJPY=X,198.8,7/1/25
GBPJPY=X,198.6,7/1/25
GBPJPY=X,198.4,7/1/25
GBPJPY=X,198.2,7/1/25
GBPJPY=X,198,7/1/25
GBPJPY=X,197.8,7/1/25
GBPJPY=X,197.6,7/1/25
GBPJPY=X,197.4,7/1/25
GBPJPY=X,197.2,7/1/25
GBPJPY=X,197,7/1/25
GBPJPY=X,196.8,7/1/25
GBPJPY=X,196.6,7/1/25
GBPJPY=X,196.4,7/1/25
GBPJPY=X,196.2,7/1/25
GBPJPY=X,196,7/1/25
GBPJPY=X,195.8,7/1/25